epoch,train_mae,train_rmse,val_mae,val_rmse
1,148.91401499586414,166.8520046419733,160.9843519414041,181.03783624865778
2,148.7096319198823,166.65088462704418,160.78021238447087,180.82965549204567
3,148.50255142680774,166.445974964987,160.57263437602222,180.61673896082883
4,148.29259244845892,166.23875270998565,160.3618112541424,180.40093725240942
5,148.07808153309426,166.0275531858223,160.14622957791607,180.1806139836288
6,147.85770972106792,165.81100793124628,159.9245523676522,179.9543790138381
7,147.6296485268745,165.58717168177714,159.69472522138298,179.7197336381211
8,147.39210413065433,165.35398830491968,159.45486776276957,179.4746100590042
9,147.14327658527725,165.1093046653343,159.2031892423456,179.21663352180005
10,146.88153020288152,164.85136362719638,158.93815106417628,178.9440850639504
11,146.60564067697544,164.57874686417682,158.65770974478454,178.65480628463288
12,146.31397339911342,164.28964223625513,158.3613587764011,178.34763681101063
13,146.00490080017906,163.98217563744439,158.04728905060435,178.02061511368947
14,145.67748074479601,163.6553779937251,157.7147270524898,177.6730170917569
15,145.33048234309214,163.30813989620188,157.36262877287152,177.3036370628466
16,144.96273315391534,162.9390702218216,156.9899009185553,176.91126683013044
17,144.5733608966049,162.5474597318637,156.5959754646485,176.4953672323275
18,144.1620315596029,162.13315460771628,156.17943392118207,176.05459230762588
19,143.72750687484339,161.69483625389873,155.73956476604505,175.58814798892251
20,143.26962903568574,161.23211536856581,155.2751033637687,175.09479490370265
21,142.7880315445728,160.74495821572478,154.78672455518836,174.57543664083352
22,142.28235133785523,160.2330786714702,154.27394687467105,174.02939532124066
23,141.7515927469961,159.69535707849684,153.73514812021676,173.4549527768442
24,141.19565309645256,159.1318426846829,153.17055101726424,172.85225082527307
25,140.61412351294717,158.54208924539768,152.57959497011782,172.22037764306424
26,140.00672827566316,157.92593109497636,151.96164024968925,171.55911823608434
27,139.37304557468613,157.28295222623422,151.31632796239992,170.8679235005969
28,138.71268131419913,156.6130443912792,150.6432270879552,170.14617834911053
29,138.02511150344472,155.91550777422484,149.94117813284814,169.3926761059546
30,137.30987040425924,155.19002851065258,149.21070327723072,168.60806205384074
31,136.56685880970375,154.43645385365565,148.45111353564238,167.79166964768254
32,135.7953743685054,153.65431907796682,147.66230542250372,166.94385121733163
33,134.9958808839,152.8445289859914,146.844072968736,166.06469878108214
34,134.16815518154453,152.0072304956295,145.99714752449574,165.1552585088639
35,133.31258990015004,151.1429529244354,145.12089292294297,164.21554519957434
36,132.4295698044019,150.25227152254803,144.21678180219774,163.24683579821993
37,131.52003485649553,149.33638991448782,143.285583465169,162.25003580334823
38,130.5844575716763,148.39609135883737,142.32751576621757,161.22560004621525
39,129.62317407067383,147.4317793276121,141.3431874855422,160.1744035161121
40,128.63684734873516,146.44483318824203,140.33317644449463,159.09786997866775
41,127.62594241817426,145.43634006759135,139.2986982504081,157.99743211822414
42,126.5912031368905,144.40753164125405,138.239879146819,156.87340109538232
43,125.54259233188218,143.35892760916684,137.1574023464815,155.72704900696567
44,124.48882619621484,142.29179992812405,136.05134286041158,154.55906273786601
45,123.41316450695652,141.2071054698309,134.9217763399117,153.37018323283675
46,122.31599373863348,140.1056437403812,133.7697030448296,152.16137585275413
47,121.1983382409694,138.98869597590414,132.59571747032146,150.9335776744575
48,120.06112925835654,137.85776062865227,131.4008328209201,149.6882284607379
49,118.90485498763552,136.71380746715107,130.18576407260215,148.42673710100956
50,117.73038501926945,135.55798948763487,128.95121947693187,147.15000578610224
51,116.53831957308378,134.39138520619926,127.69834973869129,145.85961283963812
52,115.33736799826808,133.21557483096683,126.42735797002567,144.55640796249537
53,114.12087752358956,132.0317700053353,125.14009823991739,143.24255393854892
54,112.8897238418669,130.84161247753076,123.8371571508416,141.91919562884328
55,111.64499100937893,129.64666412844412,122.52011055227884,140.58824468181197
56,110.4015929263085,128.44830537692502,121.18937922449285,139.25081589496955
57,109.14611727625629,127.24759582446299,119.84633330816914,137.90870770786165
58,107.87962339312664,126.04615437363664,118.49230743951931,136.56337114757966
59,106.60350337102923,124.84575118936394,117.12828576778597,135.2163909995711
60,105.31854599440504,123.64747060055205,115.7712256406435,133.86957748807083
61,104.02541310439871,122.45242231207824,114.45204274177779,132.5240517868696
62,102.7318587705537,121.26203654516549,113.12599681474995,131.1809653206124
63,101.44563530406892,120.07771110657163,111.79463692570778,129.84220466334142
64,100.16650685594767,118.90055570796427,110.45875317289531,128.50883557057938
65,98.91330587525158,117.73168580988182,109.11901739428455,127.18204609058058
66,97.66607562691932,116.5726128792962,107.78782753976397,125.8632618061951
67,96.45452304703855,115.42436997902608,106.54984651968451,124.55331217895154
68,95.24608402138311,114.28800647928938,105.31020173901398,123.25346332745495
69,94.03678499182139,113.16437148763853,104.06980588744098,121.96486945016026
70,92.82735157300704,112.054255236851,102.82939586826633,120.68810166074954
71,91.62320298152034,110.9586219839985,101.58984388090705,119.42457224650214
72,90.42786734038643,109.878447044372,100.38029495079158,118.1755154116352
73,89.26597488062832,108.8144391649194,99.17516551235792,116.9416704900308
74,88.10809563154392,107.76701005774619,97.97367232930813,115.72394579835535
75,86.95602968746739,106.73692691417007,96.77725570291376,114.52273722213297
76,85.84725171091048,105.72492293817774,95.61354086520828,113.33931290028536
77,84.76532909361339,104.7315414052699,94.45571100030983,112.17418500509326
78,83.70473221281219,103.75712124783222,93.30427744984152,111.02781981595191
79,82.67318212112552,102.80212461756022,92.16005431969054,109.90088213270036
80,81.66416763337072,101.86708278318835,91.02395067901082,108.79395515741496
